STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,coicop,Classification of individual consumption by purpose (COICOP),unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,AT,Austria,2005,,3933,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,AT,Austria,2010,,4023,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,AT,Austria,2015,,4065,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,AT,Austria,2020,,4177,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BE,Belgium,2005,,4043,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BE,Belgium,2010,,4122,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BE,Belgium,2015,,4489,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BE,Belgium,2020,,4913,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BG,Bulgaria,2005,,2238,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BG,Bulgaria,2010,,2736,,,,,
dataflow,ESTAT:HBS_EXP_T121(1.0),Mean consumption expenditure per household by COICOP consumption purpose,A,Annual,CP01,Food and non-alcoholic beverages,PPS_HH,Purchasing power standard (PPS) per household,BG,Bulgaria,2015,,3332,,,,,
